SELL_ID,model,price_at_max_revenue,qty_at_max_revenue,max_revenue
1070,full,8.542161192209539,91.56021221921091,782.1220915694131
1070,price_only,8.542161192209539,71.68517369540072,612.3463087976521
1070,price_weather,8.542161192209539,70.29737768532003,600.4915315776376
2051,full,5.056345296958101,28.125351362919822,142.21148808919375
2051,price_only,5.056345296958101,23.074406006342112,116.6721642902697
2051,price_weather,5.056345296958101,22.303626188785625,112.77483538477773
2052,full,1.5005760103491441,21.297201335825108,31.958069412114902
2052,price_only,1.5005760103491441,17.48551084690606,26.238338105566978
2052,price_weather,1.5005760103491441,17.168897819536745,25.76323619213257
2053,full,1.5005760103491441,47.742748897577926,71.64162366382848
2053,price_only,1.5005760103491441,38.420213211986706,57.65245025840649
2053,price_weather,1.5005760103491441,37.229697776769875,55.86599135636974
